Date,Clicks,Impressions,CTR,Position
2026-02-24,0,0,,
2026-02-25,0,0,,
2026-02-26,0,3,0%,4
2026-02-27,0,1,0%,1
2026-02-28,0,11,0%,2
2026-03-01,0,2,0%,1.5
2026-03-02,0,4,0%,1
2026-03-03,0,2,0%,7
2026-03-04,0,5,0%,1.6
2026-03-05,0,2,0%,3
2026-03-06,0,8,0%,5.5
2026-03-07,1,2,50%,1.5
2026-03-08,0,1,0%,10
2026-03-09,0,4,0%,6.5
2026-03-10,0,3,0%,4
2026-03-11,2,5,40%,4.6
2026-03-12,0,3,0%,3.7
2026-03-13,0,10,0%,2.4
2026-03-14,0,2,0%,4
2026-03-15,1,8,12.5%,4.2
2026-03-16,0,3,0%,2.3
2026-03-17,0,4,0%,2.8
2026-03-18,1,5,20%,2.4
2026-03-19,0,2,0%,1
2026-03-20,2,18,11.11%,1
2026-03-21,1,2,50%,1.5
2026-03-22,2,8,25%,1.6
2026-03-23,1,4,25%,4.8
2026-03-24,0,5,0%,5.2
2026-03-25,2,5,40%,2.2
2026-03-26,0,6,0%,1.8
2026-03-27,2,13,15.38%,2.6
2026-03-28,2,35,5.71%,1.8
2026-03-29,2,11,18.18%,1.8
2026-03-30,2,7,28.57%,2.3
2026-03-31,2,31,6.45%,1.9
2026-04-01,1,18,5.56%,1.6
2026-04-02,0,6,0%,2.3
2026-04-03,0,14,0%,2.2
2026-04-04,1,7,14.29%,1.3
2026-04-05,1,8,12.5%,1.2
2026-04-06,1,6,16.67%,4.5
2026-04-07,0,6,0%,3.8
2026-04-08,2,6,33.33%,1.7
2026-04-09,0,12,0%,1.9
2026-04-10,0,6,0%,2.8
2026-04-11,1,23,4.35%,1.6
2026-04-12,0,1,0%,2
2026-04-13,0,5,0%,3.6
2026-04-14,1,6,16.67%,1.3
2026-04-15,0,5,0%,2.2
2026-04-16,2,13,15.38%,2.5
2026-04-17,2,10,20%,1.8
2026-04-18,0,12,0%,1.8
2026-04-19,1,12,8.33%,1.3
2026-04-20,1,5,20%,3.4
2026-04-21,0,9,0%,1.9
2026-04-22,1,9,11.11%,1.3
2026-04-23,1,12,8.33%,4.5
2026-04-24,1,11,9.09%,2
2026-04-25,0,10,0%,2.1
2026-04-26,0,11,0%,1.7
2026-04-27,1,8,12.5%,1.6
2026-04-28,1,27,3.7%,1.9
2026-04-29,0,3,0%,1
2026-04-30,2,6,33.33%,1
2026-05-01,2,9,22.22%,1
2026-05-02,1,4,25%,2.8
2026-05-03,0,7,0%,1.4
2026-05-04,2,15,13.33%,1.3
