Country,Clicks,Impressions,CTR,Position
Kenya,92,962,9.56%,4.02
United States,51,2013,2.53%,10.87
India,23,348,6.61%,13.64
Germany,8,112,7.14%,14.24
United Kingdom,4,288,1.39%,36.74
Turkey,4,127,3.15%,8.37
Brazil,4,47,8.51%,4
United Arab Emirates,3,62,4.84%,8.76
Egypt,3,9,33.33%,9.33
Bangladesh,2,56,3.57%,12.96
Pakistan,2,50,4%,4.88
Italy,2,42,4.76%,5.76
Nigeria,2,30,6.67%,3.97
South Africa,2,22,9.09%,3.86
Singapore,2,20,10%,23.15
Morocco,2,17,11.76%,18.24
Saudi Arabia,2,9,22.22%,20.22
Nepal,2,5,40%,1.8
Canada,1,65,1.54%,21.48
Vietnam,1,40,2.5%,30.38
Indonesia,1,28,3.57%,43.61
France,1,18,5.56%,4.17
Mexico,1,18,5.56%,18.56
Argentina,1,17,5.88%,4.65
Spain,1,17,5.88%,8.35
Switzerland,1,16,6.25%,11.19
New Zealand,1,8,12.5%,23.5
Algeria,1,8,12.5%,48.25
Ghana,1,7,14.29%,7.71
Denmark,1,6,16.67%,3.17
Rwanda,1,6,16.67%,7.83
Jordan,1,6,16.67%,34
Israel,1,5,20%,3
Tanzania,1,5,20%,9
Greece,1,4,25%,1.25
Albania,1,4,25%,2.5
Benin,1,3,33.33%,7
Slovakia,1,2,50%,3.5
Congo - Kinshasa,1,2,50%,8.5
Kuwait,1,1,100%,1
Montenegro,1,1,100%,1
Mozambique,1,1,100%,1
Côte d’Ivoire,1,1,100%,2
Netherlands,0,82,0%,14.26
Australia,0,61,0%,36.33
Russia,0,56,0%,11.39
Philippines,0,37,0%,31.11
Japan,0,23,0%,10.91
Thailand,0,17,0%,15.59
Norway,0,14,0%,9.79
South Korea,0,13,0%,3.85
Ukraine,0,13,0%,12.69
Malaysia,0,10,0%,26.5
Sri Lanka,0,8,0%,1.5
Colombia,0,8,0%,4.5
Poland,0,8,0%,24
Portugal,0,7,0%,3.14
Austria,0,7,0%,3.43
China,0,7,0%,7.14
Bulgaria,0,6,0%,4.17
Estonia,0,5,0%,2.2
Kazakhstan,0,5,0%,3.4
Taiwan,0,5,0%,4.8
Romania,0,5,0%,8.4
Belgium,0,5,0%,11
Chile,0,5,0%,12.6
Bosnia & Herzegovina,0,4,0%,1.5
Hong Kong,0,4,0%,1.75
Uganda,0,4,0%,5
Lebanon,0,4,0%,6.5
Laos,0,3,0%,2.33
Haiti,0,3,0%,4.67
Zimbabwe,0,3,0%,5.67
Nicaragua,0,3,0%,9
Iraq,0,3,0%,18
Sweden,0,2,0%,1
Czechia,0,2,0%,1.5
Ecuador,0,2,0%,1.5
Serbia,0,2,0%,1.5
Hungary,0,2,0%,2
Dominican Republic,0,2,0%,2.5
Armenia,0,2,0%,3
Costa Rica,0,2,0%,3
Myanmar (Burma),0,2,0%,3
Mongolia,0,2,0%,3.5
Maldives,0,2,0%,4
Puerto Rico,0,2,0%,4
Cyprus,0,2,0%,4.5
Finland,0,2,0%,5
Ireland,0,2,0%,5
Cameroon,0,2,0%,5.5
Macedonia,0,2,0%,6
Tunisia,0,2,0%,6
Jamaica,0,2,0%,7.5
Namibia,0,2,0%,9
Barbados,0,2,0%,9.5
Oman,0,2,0%,13.5
Iran,0,2,0%,19
Jersey,0,1,0%,1
Malawi,0,1,0%,1
Panama,0,1,0%,1
Somalia,0,1,0%,1
Venezuela,0,1,0%,1
Botswana,0,1,0%,2
Ethiopia,0,1,0%,2
Latvia,0,1,0%,2
Chad,0,1,0%,2
Tajikistan,0,1,0%,3
Georgia,0,1,0%,4
South Sudan,0,1,0%,4
Guam,0,1,0%,5
Paraguay,0,1,0%,5
Belize,0,1,0%,6
Honduras,0,1,0%,6
Syria,0,1,0%,8
Senegal,0,1,0%,9
Bahamas,0,1,0%,10
Lesotho,0,1,0%,10
Peru,0,1,0%,10
Palestine,0,1,0%,10
Qatar,0,1,0%,10
Bolivia,0,1,0%,11
Papua New Guinea,0,1,0%,11
